date,code,close,high,low,open,p_change,turnover,volume,t_volue
2011/9/23,'002230,33.91,34.46,33.88,34.09,-2.2767,0.3423,825484,8547939581
2011/9/26,'002230,32.3,33.99,31.98,33.91,-4.7479,0.5792,1396637,8142095207
2011/9/27,'002230,31.89,32.9,31.58,32.87,-1.2693,0.4656,1122560,8038743534
2011/9/28,'002230,30.66,32.5,30,32.5,-3.857,0.5324,1283720,7728688516
2011/9/29,'002230,30.11,30.77,30.06,30.7,-1.7939,0.2813,678237,7590046028
2011/9/30,'002230,29.8,30.66,29.5,30.65,-1.0296,0.5919,1427212,7511902080
2011/10/10,'002230,30.01,31.24,29.68,31.24,0.7047,0.4739,1142717,7564838303
2011/10/11,'002230,30.23,31,30,30.6,0.7331,0.6105,1472080,7620295298
2011/10/12,'002230,31.3,31.43,29.72,30,3.5395,0.7083,1707786,7890017956
2011/10/13,'002230,32.58,32.81,30.93,31.3,4.0895,0.9376,2260771,8212676838
2011/10/14,'002230,33.71,34.1,33.12,33.2,3.4684,1.8098,4363849,8497524131
2011/10/17,'002230,36.15,36.99,34.06,34.4,7.2382,2.2905,5522957,9112592624
2011/10/18,'002230,36.61,37.75,35.55,35.7,1.2725,2.8513,6875119,9228548159
2011/10/19,'002230,35.66,36.98,35.21,36.6,-2.5949,1.6836,4059626,8989074771
2011/10/20,'002230,36,36.38,34.8,35.39,0.9534,1.4584,3516484,9074781036
2011/10/21,'002230,35,36.67,34.71,36.03,-2.7778,0.7593,1830962,8822703785
2011/10/24,'002230,35.1,35.47,33.72,35.2,0.2857,1.2907,3112096,8847911510
2011/10/25,'002230,36.3,36.8,34.61,35.01,3.4188,2.1598,5207764,9150404211
2011/10/26,'002230,35.92,36.95,35.8,35.82,-1.0468,1.4073,3393284,9054614856
2011/10/27,'002230,35.29,36.57,34.95,35.8,-1.7539,0.9587,2311650,8895806188
2011/10/28,'002230,36.4,36.5,35.2,36,3.1454,1.2366,2981627,9175611936
2011/10/31,'002230,37.38,38,36.22,36.55,2.6923,2.651,6392299,9422647642
2011/11/1,'002230,37,37.5,36.38,37.03,-1.0166,1.1085,2672897,9326858287
2011/11/2,'002230,38.09,38.3,36.01,36.3,2.9459,2.4992,6026141,9601622491
2011/11/3,'002230,39.98,40.8,38.4,38.5,4.9619,3.5906,8657687,10078048495
2011/11/4,'002230,39.5,40.06,39.09,39.96,-1.2006,1.3925,3357532,9957051415
2011/11/7,'002230,38.28,39.88,38.28,39.85,-3.0886,1.3812,3330325,9649517168
2011/11/8,'002230,37.3,38.71,37.28,38.2,-2.5601,1.0524,2537695,9402481462
2011/11/9,'002230,38.19,38.2,36.7,37.68,2.3861,1.5846,3820841,9626830216
2011/11/10,'002230,37.66,38.29,37.12,37.48,-1.3878,1.0216,2463266,9493229273
2011/11/11,'002230,38,38.4,37.27,37.94,0.9028,0.7594,1831156,9578935538
2011/11/14,'002230,39.1,39.1,37.92,38.55,2.8947,1.1864,2860606,9856220514
2011/11/15,'002230,40.81,40.95,39,39.12,4.3734,1.8842,4543224,10287272613
2011/11/16,'002230,38.62,40.89,38.5,40.89,-5.3663,1.5185,3661538,9735223434
2011/11/17,'002230,38.17,38.82,37.86,38.54,-1.1652,1.7727,4274467,9621788671
2011/11/18,'002230,38,38.98,37.7,37.9,-0.4454,1.5724,3791428,9578935538
2011/11/21,'002230,37.04,38.19,36.8,37.56,-2.5263,0.784,1890383,9336941377
2011/11/22,'002230,37.29,37.8,36.77,36.77,0.6749,0.7519,1813064,9399960690
2011/11/23,'002230,37.9,38.49,36.85,37.3,1.6358,0.809,1950672,9553727813
2011/11/24,'002230,38.42,38.75,37.1,37.52,1.372,0.7685,1853136,9684807983
2011/11/25,'002230,38.45,38.82,38.04,38.2,0.0781,0.554,1335705,9692370301
2011/11/28,'002230,38.6,38.89,38.34,38.6,0.3901,0.55,1326090,9730181889
2011/11/29,'002230,39.7,39.9,38.61,38.9,2.8497,1.4058,3389794,10007466865
2011/11/30,'002230,37.5,39.79,36.5,39.79,-5.5416,1.4202,3424551,9452896913
2011/12/1,'002230,37.87,39,37.6,38.38,0.9867,1.4827,3575085,9546165495
2011/12/2,'002230,36.92,37.65,36.65,37.18,-2.5086,0.7105,1713244,9306692107
2011/12/5,'002230,35.51,36.91,35.37,36.65,-3.8191,0.8757,2111512,8951263183
2011/12/6,'002230,35.62,36.26,35.4,35.4,0.3098,0.5504,1327025,8978991681
2011/12/7,'002230,34.31,35.98,34.26,35.52,-3.6777,0.5134,1237903,8648770482
2011/12/8,'002230,33.43,34.96,33.03,34.35,-2.5648,1.0275,2477560,8426942501
2011/12/9,'002230,33.17,33.59,32.83,33.1,-0.7777,0.4713,1136344,8361402416
2011/12/12,'002230,33.53,34.2,33.17,33.17,1.0853,0.4351,1049133,8452150226
2011/12/13,'002230,34.2,35.16,33.53,33.53,1.9982,1.3925,3357526,8621041984
2011/12/14,'002230,33.52,34.5,33.52,33.7,-1.9883,0.4797,1156682,8449629454
2011/12/15,'002230,33.3,33.8,32.6,33.5,-0.6563,0.4577,1103505,8394172458
2011/12/16,'002230,34.89,34.98,33,33,4.7748,0.5538,1335377,8794975287
2011/12/19,'002230,35.71,35.78,34.3,34.6,2.3502,0.6406,1544679,9001678633
2011/12/20,'002230,35.8,36.65,35.41,35.7,0.252,0.515,1241766,9024365586
2011/12/21,'002230,35.34,36.11,35.3,35.8,-1.2849,0.5098,1229154,8908410050
2011/12/22,'002230,34.77,35.34,33.9,35.34,-1.6129,0.397,957213,8764726017
2011/12/23,'002230,35.45,35.77,34.77,34.77,1.9557,0.3094,746122,8936138548
2011/12/26,'002230,35.98,37.07,35.47,35.49,1.4951,0.5832,1406148,9069739491
2011/12/27,'002230,35,36.07,34,35.63,-2.7237,0.4181,1008198,8822703785
2011/12/28,'002230,34.34,34.9,32.8,34.9,-1.8857,0.828,1996619,8656332799
2011/12/30,'002230,35,35.16,33.91,34.65,1.922,0.654,1576955,8822703785
2012/1/4,'002230,33.5,35.2,33,35,-4.2857,0.36,868019,8444587909
2012/1/5,'002230,30.15,33.49,30.15,33.49,-10,1.2846,3097501,7600129118
2012/1/6,'002230,28.5,29.84,27.14,29.6,-5.4726,1.5126,3647135,7184201654
2012/1/9,'002230,29,29.5,27.83,28.5,1.7544,1.1462,2763718,7310240279
2012/1/10,'002230,30.4,30.85,29,29.01,4.8276,1.7198,4146728,7663148430
2012/1/11,'002230,30.36,30.9,29.9,30.45,-0.1316,1.4995,3615697,7653065340
2012/1/12,'002230,30,30.73,29.81,30.3,-1.1858,0.7236,1744818,7562317530
2012/1/13,'002230,28.85,30.08,28.41,29.91,-3.8333,1.1783,2841148,7272428691
2012/1/16,'002230,28.4,29.2,27.82,28.38,-1.5598,0.7169,1728604,7158993928
2012/1/17,'002230,29.63,30.05,27.6,28.48,4.331,0.9862,2378068,7469048947
2012/1/18,'002230,28.05,29.88,27.7,29.53,-5.3324,0.5634,1358422,7070766891
2012/1/19,'002230,27.9,28.54,27.7,28.05,-0.5348,0.4836,1165977,7032955303
2012/1/20,'002230,29.26,29.5,27.9,27.91,4.8746,0.6226,1501282,7375780364
2012/1/30,'002230,29.99,30.49,29.26,29.8,2.4949,0.7053,1700747,7559796757
2012/1/31,'002230,29.82,30.19,29.41,30,-0.5669,0.2683,647022,7516943625
2012/2/1,'002230,29.6,30.2,29.6,29.82,-0.7378,0.1961,472942,7461486630
2012/2/2,'002230,29.8,30.05,28.28,29.16,0.6757,0.5937,1431611,7511902080
2012/2/3,'002230,31.17,31.8,29.2,29.6,4.5973,0.9591,2312562,7857247914
2012/2/6,'002230,30.9,31.39,30.56,31.17,-0.8662,0.4992,1203695,7789187056
2012/2/7,'002230,30.25,30.95,30.18,30.94,-2.1036,0.3252,784021,7625336843
2012/2/8,'002230,31.28,31.3,29.91,30.2,3.405,0.5458,1316106,7884976411
2012/2/9,'002230,32.2,32.28,31.3,31.32,2.9412,0.8427,2031923,8116887482
2012/2/10,'002230,32.38,33.8,31.9,32.05,0.559,0.8982,2165884,8162261387
2012/2/13,'002230,34.53,35.35,31.31,31.96,6.6399,1.3484,3251242,8704227477
2012/2/14,'002230,34.66,35.5,33.77,34.57,0.3765,0.9893,2385510,8736997520
2012/2/15,'002230,34.75,35.1,34.2,34.67,0.2597,1.1275,2718699,8759684472
2012/2/16,'002230,35.2,35.59,34.75,34.75,1.295,1.141,2751271,8873119235
2012/2/17,'002230,34.7,35.39,33.9,35.34,-1.4205,0.8343,2011801,8747080610
2012/2/20,'002230,35.94,36.37,35.05,35.15,3.5735,1.2012,2896395,9059656401
2012/2/21,'002230,38.7,38.79,35.66,36,7.6795,2.363,5697711,9755389614
2012/2/22,'002230,39.7,39.88,38.11,38.68,2.584,2.6747,6449299,10007466865
2012/2/23,'002230,38.5,39.58,38.21,39.58,-3.0227,1.5311,3691934,9704974164
2012/2/24,'002230,38.5,38.89,38.24,38.58,0,0.7448,1795958,9704974164
2012/2/27,'002230,38.58,40.48,37.8,38.4,0.2078,2.0861,5030109,9725140344
2012/2/28,'002230,39,39.5,38.42,38.58,1.0886,1.295,3122624,9831012789
2012/2/29,'002230,39.26,39.45,38.49,39.11,0.6667,1.0359,2497775,9896552874
2012/3/1,'002230,39.56,40.5,38.9,39.18,0.7641,1.6413,3957482,9972176050
2012/3/2,'002230,41.1,41.39,39.7,39.7,3.8928,1.6289,3927713,10360375016
2012/3/5,'002230,40.8,43.02,40.76,41.5,-0.7299,2.3812,5741728,10284751841
2012/3/6,'002230,41.58,41.81,39.8,40.31,1.9118,1.2895,3109180,10481372097
2012/3/7,'002230,40.2,41.39,39.88,41.2,-3.3189,1.4584,3516575,10133505490
